227	207
241	208
256	212
259	222
259	231
257	238
248	247
243	252
251	254
263	261
259	270
251	270
252	270
261	278
268	292
275	304
280	310
264	310
244	298
242	281
249	268
266	258
278	264
262	285
232	304
220	302
238	277
264	256
281	255
290	266
283	271
253	266
221	260
202	254
207	253
214	255
218	255
220	261
211	266
206	258
204	244
207	227
223	211
231	214
221	234
213	256
221	268
236	277
228	289
218	293
217	281
205	259
198	235
210	226
220	228
228	230
236	223
242	213
234	215
213	230
194	251
193	256
213	248
235	239
247	228
248	216
242	209
221	215
195	224
182	223
174	207
175	178
171	171
177	187
202	187
238	181
230	206
214	262
231	317
277	343
301	328
283	293
242	257
199	230
183	225
189	242
195	258
194	257
200	238
206	214
205	199
200	202
196	218
208	233
235	227
253	216
265	222
296	236
331	245
353	246
352	234
335	217
305	210
286	215
286	217
287	218
280	226
271	239
263	249
269	250
276	250
254	262
219	274
209	260
228	238
254	220
264	211
253	221
237	239
233	252
239	256
258	255
271	250
263	243
253	238
263	242
279	244
280	231
264	217
247	207
251	204
257	205
243	206
213	201
194	194
206	193
218	192
201	192
154	197
136	205
186	208
248	209
279	210
282	211
276	212
259	205
218	199
189	197
192	199
204	199
208	196
197	192
195	190
199	189
218	186
248	176
264	161
248	160
239	168
255	166
281	158
293	161
283	189
266	231
259	251
261	240
256	218
247	203
231	203
221	207
215	206
219	202
239	195
262	186
269	186
268	191
272	199
274	214
269	232
262	243
260	241
264	227
272	212
270	198
252	187
242	186
234	195
222	210
221	231
246	242
283	232
308	215
305	200
309	193
324	192
341	188
354	181
350	175
325	183
312	195
329	199
375	195
407	191
416	193
421	202
433	207
446	198
442	187
415	188
381	197
341	206
320	208
329	204
342	197
355	187
364	181
356	187
347	201
341	212
318	207
276	196
232	195
206	197
212	201
226	199
226	192
211	194
204	208
214	224
251	235
274	239
248	236
212	230
189	224
187	221
213	219
261	217
293	219
289	225
251	226
194	224
149	222
138	215
151	204
180	194
195	190
201	190
216	192
240	193
257	198
260	204
250	209
239	216
234	228
234	241
237	243
244	220
251	196
249	200
244	220
236	239
224	248
211	246
211	230
216	208
218	197
226	203
244	221
256	240
252	244
244	232
245	217
253	207
256	207
260	212
262	208
264	203
272	200
283	198
288	189
286	176
278	172
264	182
270	207
297	229
309	220
296	192
277	181
259	187
260	201
278	211
282	216
278	209
275	188
265	168
275	166
298	178
306	189
283	180
247	172
219	174
226	173
244	166
258	160
259	157
242	154
212	159
194	172
190	184
177	189
155	199
148	210
165	204
184	188
191	183
183	185
171	196
178	206
191	197
202	177
209	159
230	150
250	156
241	176
234	192
240	190
225	168
222	140
148	377
215	152
231	173
413	344
244	172
259	157
459	331
238	343
238	366
210	379
192	377
127	377
144	381
358	356
367	376
385	381
375	327
412	323
210	368
234	368
236	375
225	381
422	348
150	23
141	315
105	325
84	331
42	27
323	363
54	19
340	336
101	8
394	328
135	0
206	339
212	336
109	357
75	373
63	380
194	366
417	314
442	274
445	298
232	350
229	363
336	381
157	0
155	10
154	11
159	8
168	2
493	355
165	332
178	349
238	7
238	28
216	47
185	55
164	41
169	15
445	322
443	327
454	347
186	39
181	44
176	28
183	1
183	1
454	303
194	46
202	37
211	14
499	310
492	333
212	39
500	344
492	335
470	333
476	351
497	379
194	43
198	36
201	17
211	8
233	20
242	26
222	23
185	9
172	0
154	0
152	11
128	18
144	19
180	15
185	15
171	21
148	27
149	31
194	26
208	14
210	6
196	6
184	12
188	19
245	22
286	18
286	11
279	5
257	0
500	277
175	17
204	30
239	37
257	33
246	18
213	12
194	26
202	40
222	39
223	21
229	8
218	14
219	30
236	34
255	24
272	6
286	0
399	380
315	42
317	40
318	21
313	0
339	2
332	0
323	1
316	5
286	14
248	17
235	14
243	177
213	160
182	153
165	166
168	182
211	180
256	162
277	141
274	139
270	158
282	180
304	178
297	164
270	166
224	192
197	217
208	223
230	216
221	204
200	199
191	215
201	245
217	265
232	266
240	249
256	222
271	209
272	218
284	234
318	233
344	218
338	191
297	177
242	194
223	231
234	246
255	225
270	196
272	197
282	206
321	205
359	200
366	204
337	213
280	222
237	219
208	203
204	186
218	180
237	182
254	185
276	187
299	188
303	181
283	177
262	178
245	182
235	186
240	185
251	182
248	182
237	188
256	201
302	216
332	220
324	212
290	206
255	205
221	205
200	205
208	207
222	206
229	200
241	190
248	185
242	182
234	185
236	187
231	183
209	181
180	189
173	201
302	7
191	201
232	368
153	197
140	221
239	42
236	43
238	36
252	25
267	18
281	18
291	23
298	25
307	17
303	9
291	13
282	25
280	24
280	13
271	8
270	15
282	30
287	39
287	37
278	30
274	22
280	20
286	28
288	37
287	38
290	33
298	29
188	265
174	261
148	269
147	279
